Navn,Stasjon,Tid(norsk normaltid),Middeltemperatur (døgn),Maksimumstemperatur (døgn),Minimumstemperatur (døgn)
Oslo - Blindern,SN18700,01.01.2024,-4.9,-3.8,-5.7
Tromsø,SN90450,01.01.2024,-7.6,-6.5,-8.7
Oslo - Blindern,SN18700,02.01.2024,-7.4,-4.7,-8.4
Tromsø,SN90450,02.01.2024,-9.4,-7.9,-10.5
Oslo - Blindern,SN18700,03.01.2024,-8.5,-7.7,-8.8
Tromsø,SN90450,03.01.2024,-8.9,-8.2,-10.2
Oslo - Blindern,SN18700,04.01.2024,-10.4,-8.6,-12.6
Tromsø,SN90450,04.01.2024,-8.4,-7.7,-10.3
Oslo - Blindern,SN18700,05.01.2024,-16.7,-11.9,-19.3
Tromsø,SN90450,05.01.2024,-3.9,-3.1,-7.8
Oslo - Blindern,SN18700,06.01.2024,-18.8,-15.9,-23.1
Tromsø,SN90450,06.01.2024,-2.1,-1,-4.7
Oslo - Blindern,SN18700,07.01.2024,-16.7,-13.3,-18.3
Tromsø,SN90450,07.01.2024,-0.1,1.6,-1.6
Oslo - Blindern,SN18700,08.01.2024,-14.9,-11.3,-19.1
Tromsø,SN90450,08.01.2024,0.9,3.2,-1.4
Oslo - Blindern,SN18700,09.01.2024,-9.1,-5.7,-13.8
Tromsø,SN90450,09.01.2024,2.4,5,1.4
Oslo - Blindern,SN18700,10.01.2024,-6.2,-3.1,-8.8
Tromsø,SN90450,10.01.2024,0.3,3.7,-1
Oslo - Blindern,SN18700,11.01.2024,1.5,7.8,-5.8
Tromsø,SN90450,11.01.2024,-2.8,-0.2,-5
Oslo - Blindern,SN18700,12.01.2024,-4.3,-0.9,-6.4
Tromsø,SN90450,12.01.2024,-3.4,-1.4,-4.1
Oslo - Blindern,SN18700,13.01.2024,-4.1,-2.8,-6.9
Tromsø,SN90450,13.01.2024,-4.4,-2.7,-5.8
Oslo - Blindern,SN18700,14.01.2024,-2.4,-0.3,-4.4
Tromsø,SN90450,14.01.2024,-7.3,-4.5,-9.7
Oslo - Blindern,SN18700,15.01.2024,-9.4,-0.3,-12.4
Tromsø,SN90450,15.01.2024,-8.9,-5.1,-12.1
Oslo - Blindern,SN18700,16.01.2024,-12.3,-8.6,-18.6
Tromsø,SN90450,16.01.2024,-9.5,-8.4,-12.2
Oslo - Blindern,SN18700,17.01.2024,-6.8,-5.6,-8.6
Tromsø,SN90450,17.01.2024,-10.8,-9,-11.8
Oslo - Blindern,SN18700,18.01.2024,-10.2,-5.7,-12.5
Tromsø,SN90450,18.01.2024,-10.5,-8.1,-12.3
Oslo - Blindern,SN18700,19.01.2024,-11.8,-8.5,-14.3
Tromsø,SN90450,19.01.2024,-11.4,-9.8,-13.5
Oslo - Blindern,SN18700,20.01.2024,-11.9,-9.6,-16.3
Tromsø,SN90450,20.01.2024,-6.9,-4.6,-12.2
Oslo - Blindern,SN18700,21.01.2024,-2.7,0.9,-10.3
Tromsø,SN90450,21.01.2024,-5.9,-4.1,-8.5
Oslo - Blindern,SN18700,22.01.2024,4.5,7.1,0.9
Tromsø,SN90450,22.01.2024,-3.2,-0.2,-6.4
Oslo - Blindern,SN18700,23.01.2024,4.4,8.7,0.2
Tromsø,SN90450,23.01.2024,0.2,1.5,-1
Oslo - Blindern,SN18700,24.01.2024,1.2,2.6,-0.2
Tromsø,SN90450,24.01.2024,-3.7,1.5,-6.5
Oslo - Blindern,SN18700,25.01.2024,-0.6,4.1,-2.1
Tromsø,SN90450,25.01.2024,-5.5,-3.9,-7.8
Oslo - Blindern,SN18700,26.01.2024,-0.2,1,-3.7
Tromsø,SN90450,26.01.2024,-5.3,-2.8,-7.9
Oslo - Blindern,SN18700,27.01.2024,-0.9,2.6,-5.1
Tromsø,SN90450,27.01.2024,1.2,3.8,-5.3
Oslo - Blindern,SN18700,28.01.2024,2.8,3.8,-0.1
Tromsø,SN90450,28.01.2024,1.5,4.6,-0.5
Oslo - Blindern,SN18700,29.01.2024,2.9,5.9,1.6
Tromsø,SN90450,29.01.2024,3.3,7.7,0.4
Oslo - Blindern,SN18700,30.01.2024,0,1.8,-0.7
Tromsø,SN90450,30.01.2024,2.8,5.3,-0.7
Oslo - Blindern,SN18700,31.01.2024,-0.7,3.3,-4.3
Tromsø,SN90450,31.01.2024,1.9,6.3,-0.9
Oslo - Blindern,SN18700,01.02.2024,1.5,5.3,-0.5
Tromsø,SN90450,01.02.2024,-0.9,3.9,-3.7
Oslo - Blindern,SN18700,02.02.2024,0.6,3.1,-4.3
Tromsø,SN90450,02.02.2024,-3.3,-2.4,-4.2
Oslo - Blindern,SN18700,03.02.2024,5.5,10.9,1.4
Tromsø,SN90450,03.02.2024,-3.5,-2.7,-6.3
Oslo - Blindern,SN18700,04.02.2024,0.8,4.6,-1.6
Tromsø,SN90450,04.02.2024,-3.9,-2.5,-6.1
Oslo - Blindern,SN18700,05.02.2024,-2.1,2.5,-4.9
Tromsø,SN90450,05.02.2024,-4,-1.2,-5.2
Oslo - Blindern,SN18700,06.02.2024,-7.3,-4.2,-10.8
Tromsø,SN90450,06.02.2024,-7.7,-4.6,-9.6
